,Date,vendors,Debit,Credit,account
265,2024-04-01,WALMART,16.75,0.0,chequing
266,2024-04-01,MCDONALD'S,6.42,0.0,chequing
267,2024-04-01,WALMART,3.15,0.0,chequing
268,2024-04-01,Foot Locker,101.69,0.0,chequing
270,2024-04-01,IRCC,150.0,0.0,chequing
271,2024-04-01,UBER,27.39,0.0,chequing
273,2024-04-01,MyCreds,18.08,0.0,chequing
274,2024-04-01,UBER,19.65,0.0,chequing
275,2024-04-01,kunjan,450.0,0.0,chequing
277,2024-03-28,Service Charge Discount,0.0,16.95,chequing
278,2024-03-28,Service Charge,16.95,0.0,chequing
279,2024-03-28,Walmart Paycheque,0.0,969.28,chequing
280,2024-03-28,Lucky Supermarket,14.6,0.0,chequing
281,2024-03-27,MCDONALD'S,8.69,0.0,chequing
282,2024-03-27,MCDONALD'S,1.33,0.0,chequing
283,2024-03-26,MyCreds,18.08,0.0,chequing
285,2024-03-26,DOLLARAMA,9.97,0.0,chequing
286,2024-03-26,CINNABON,5.97,0.0,chequing
287,2024-03-25,Bar Burrito,20.32,0.0,chequing
288,2024-03-25,Smoothie UOIT,10.16,0.0,chequing
289,2024-03-25,FRESHCO,2.25,0.0,chequing
290,2024-03-25,Playstation,20.33,0.0,chequing
291,2024-03-25,Youtube Music,6.2,0.0,chequing
292,2024-03-25,UBER,12.48,0.0,chequing
293,2024-03-25,WALMART,28.66,0.0,chequing
294,2024-03-22,MCDONALD'S,3.97,0.0,chequing
295,2024-03-22,Vending Machine,4.0,0.0,chequing
296,2024-03-22,UBER,27.33,0.0,chequing
297,2024-03-21,WALMART,5.23,0.0,chequing
298,2024-03-21,MCDONALD'S,5.15,0.0,chequing
299,2024-03-21,UBER,21.25,0.0,chequing
300,2024-03-20,WALMART,8.1,0.0,chequing
301,2024-03-20,MCDONALD'S,5.93,0.0,chequing
302,2024-03-20,UBER,17.22,0.0,chequing
303,2024-03-19,Tim Hortons,3.71,0.0,chequing
305,2024-03-18,Smoothie UOIT,10.16,0.0,chequing
306,2024-03-18,Kairali,20.0,0.0,chequing
307,2024-03-18,Tim Hortons,6.87,0.0,chequing
308,2024-03-18,Siddharth,7.0,0.0,chequing
309,2024-03-18,GIC Deposit,0.0,717.8,chequing
